Player,Actual_Y,Linear_Regression,MLPRegressor,SVMR,DeepNN
430,79.67105263,78.40386963,74.39697199,78.28366479,76.02877045
431,79.19047619,76.2043457,77.14742299,76.95778613,76.49812317
432,69.57142857,76.04312134,76.21809726,76.39587983,76.51264191
433,82,68.95916748,68.79116115,72.51506423,68.86992645
434,71,77.5105896,77.69356312,79.78526268,78.43294525
435,92,75.8684082,76.03007213,77.64252463,76.45431519
436,79.73529412,81.1164856,80.75921355,81.27812176,80.61069489
437,79.88095238,75.86514282,76.90376903,78.52846957,76.85660553
438,92.09210526,89.22216797,88.73795095,88.56054863,89.57686615
439,81.14705882,80.21401978,80.01529877,80.32935443,80.52301025
